time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
6662,-0.00011,-2.00E-05,-7.00E-05,-8.00E-05,-0.00016,-0.00018,-0.00036,-1.00E-05,2,1
6663,0.00014,1.00E-05,0.00021,0.00016,0.00012,-0.00025,-0.00021,6.00E-05,2,1
6664,0.00014,1.00E-05,0.00021,0.00016,0.00012,-0.00025,-0.00021,6.00E-05,2,1
6665,0.00014,1.00E-05,0.00021,0.00016,0.00012,-0.00025,-0.00021,6.00E-05,2,1
6666,0.00014,1.00E-05,0.00021,0.00016,0.00012,-0.00025,-0.00021,6.00E-05,2,1
6667,0.00014,1.00E-05,0.00021,0.00016,0.00012,-0.00025,-0.00021,6.00E-05,2,1
6668,0.00014,1.00E-05,0.00021,0.00016,0.00012,-0.00025,-0.00021,6.00E-05,2,1
6669,0.00014,1.00E-05,0.00021,0.00016,0.00012,-0.00025,-0.00021,6.00E-05,2,1
6670,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6671,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6672,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6673,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6674,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6675,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6676,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6677,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6678,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6679,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6680,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6681,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6682,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6683,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6684,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6685,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6686,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6688,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6689,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6690,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6691,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6692,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6693,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6694,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6695,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6696,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6697,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6698,0.00014,-0.00014,-0.00043,-0.00014,0.00014,2.00E-05,-0.00021,0.00013,2,1
6699,4.00E-05,-1.00E-04,-1.00E-04,-0.00017,-0.00011,0,-0.00027,-1.00E-04,2,1
6700,4.00E-05,-1.00E-04,-1.00E-04,-0.00017,-0.00011,0,-0.00027,-1.00E-04,2,1
6701,4.00E-05,-1.00E-04,-1.00E-04,-0.00017,-0.00011,0,-0.00027,-1.00E-04,2,1
6702,4.00E-05,-1.00E-04,-1.00E-04,-0.00017,-0.00011,0,-0.00027,-1.00E-04,2,1
6703,4.00E-05,-1.00E-04,-1.00E-04,-0.00017,-0.00011,0,-0.00027,-1.00E-04,2,1
6704,4.00E-05,-1.00E-04,-1.00E-04,-0.00017,-0.00011,0,-0.00027,-1.00E-04,2,1
6705,4.00E-05,-1.00E-04,-1.00E-04,-0.00017,-0.00011,0,-0.00027,-1.00E-04,2,1
6706,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
6707,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
6708,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
6709,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
6710,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
6711,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
6712,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
6713,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
6714,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
6715,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
6716,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
6717,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
6718,-0.00023,-8.00E-05,0.00017,1.00E-05,-5.00E-05,-8.00E-05,-0.00015,-5.00E-05,2,1
