time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
24358,-1.00E-05,0,7.00E-05,-0.00031,-0.00042,-0.00018,4.00E-05,-1.00E-05,5,1
24359,-1.00E-05,0,7.00E-05,-0.00031,-0.00042,-0.00018,4.00E-05,-1.00E-05,5,1
24360,-1.00E-05,0,7.00E-05,-0.00031,-0.00042,-0.00018,4.00E-05,-1.00E-05,5,1
24361,-1.00E-05,0,7.00E-05,-0.00031,-0.00042,-0.00018,4.00E-05,-1.00E-05,5,1
24362,-1.00E-05,0,7.00E-05,-0.00031,-0.00042,-0.00018,4.00E-05,-1.00E-05,5,1
24363,-1.00E-05,0,7.00E-05,-0.00031,-0.00042,-0.00018,4.00E-05,-1.00E-05,5,1
24364,-1.00E-05,0,7.00E-05,-0.00031,-0.00042,-0.00018,4.00E-05,-1.00E-05,5,1
24365,-1.00E-05,0,7.00E-05,-0.00031,-0.00042,-0.00018,4.00E-05,-1.00E-05,5,1
24366,-1.00E-05,0,7.00E-05,-0.00031,-0.00042,-0.00018,4.00E-05,-1.00E-05,5,1
24367,-1.00E-05,0,7.00E-05,-0.00031,-0.00042,-0.00018,4.00E-05,-1.00E-05,5,1
24368,-1.00E-05,0,7.00E-05,-0.00031,-0.00042,-0.00018,4.00E-05,-1.00E-05,5,1
24369,2.00E-05,-0.00012,-0.00014,-0.00023,-0.00017,2.00E-05,0.00015,7.00E-05,5,1
24370,2.00E-05,-0.00012,-0.00014,-0.00023,-0.00017,2.00E-05,0.00015,7.00E-05,5,1
24371,2.00E-05,-0.00012,-0.00014,-0.00023,-0.00017,2.00E-05,0.00015,7.00E-05,5,1
24372,2.00E-05,-0.00012,-0.00014,-0.00023,-0.00017,2.00E-05,0.00015,7.00E-05,5,1
24373,2.00E-05,-0.00012,-0.00014,-0.00023,-0.00017,2.00E-05,0.00015,7.00E-05,5,1
24374,2.00E-05,-0.00012,-0.00014,-0.00023,-0.00017,2.00E-05,0.00015,7.00E-05,5,1
24375,2.00E-05,-0.00012,-0.00014,-0.00023,-0.00017,2.00E-05,0.00015,7.00E-05,5,1
24376,2.00E-05,-0.00012,-0.00014,-0.00023,-0.00017,2.00E-05,0.00015,7.00E-05,5,1
24377,2.00E-05,-0.00012,-0.00014,-0.00023,-0.00017,2.00E-05,0.00015,7.00E-05,5,1
