time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
29926,5.00E-05,-0.00013,4.00E-05,-5.00E-05,5.00E-05,9.00E-05,0.00011,4.00E-04,6,1
29927,9.00E-05,-0.00014,-0.00019,-0.00029,-5.00E-04,-0.00038,3.00E-05,0.00014,6,1
29929,-0.00032,-0.00025,-6.00E-05,0.00013,0.00028,0.00011,-2.00E-04,9.00E-05,6,1
29930,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29931,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29932,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29933,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29934,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29935,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29936,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29938,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29939,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29940,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29941,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29942,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29943,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29944,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29945,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29946,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29947,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29949,0.00026,3.00E-05,-4.00E-05,-6.00E-05,-0.00011,-0.00013,-0.00015,6.00E-05,6,1
29950,0.00019,6.00E-05,1.00E-05,-6.00E-05,-0.00014,-6.00E-05,7.00E-05,0.00057,6,1
29951,0.00019,6.00E-05,1.00E-05,-6.00E-05,-0.00014,-6.00E-05,7.00E-05,0.00057,6,1
29952,7.00E-05,0.00011,-1.00E-04,-6.00E-05,-3.00E-05,-9.00E-05,-1.00E-05,-9.00E-05,6,1
29953,7.00E-05,0.00011,-1.00E-04,-6.00E-05,-3.00E-05,-9.00E-05,-1.00E-05,-9.00E-05,6,1
29954,7.00E-05,0.00011,-1.00E-04,-6.00E-05,-3.00E-05,-9.00E-05,-1.00E-05,-9.00E-05,6,1
