time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
18614,-0.00014,-0.00029,-0.00036,-0.00047,-0.00075,-0.00066,-1.00E-04,-1.00E-04,4,1
18615,-0.00014,-0.00029,-0.00036,-0.00047,-0.00075,-0.00066,-1.00E-04,-1.00E-04,4,1
18616,-0.00014,-0.00029,-0.00036,-0.00047,-0.00075,-0.00066,-1.00E-04,-1.00E-04,4,1
18617,-0.00014,-0.00029,-0.00036,-0.00047,-0.00075,-0.00066,-1.00E-04,-1.00E-04,4,1
18618,-0.00014,-0.00029,-0.00036,-0.00047,-0.00075,-0.00066,-1.00E-04,-1.00E-04,4,1
18619,-0.00014,-0.00029,-0.00036,-0.00047,-0.00075,-0.00066,-1.00E-04,-1.00E-04,4,1
18620,-0.00014,-0.00029,-0.00036,-0.00047,-0.00075,-0.00066,-1.00E-04,-1.00E-04,4,1
18621,-0.00014,-0.00029,-0.00036,-0.00047,-0.00075,-0.00066,-1.00E-04,-1.00E-04,4,1
18622,-0.00014,-0.00029,-0.00036,-0.00047,-0.00075,-0.00066,-1.00E-04,-1.00E-04,4,1
18623,-0.00014,-0.00029,-0.00036,-0.00047,-0.00075,-0.00066,-1.00E-04,-1.00E-04,4,1
18624,-0.00014,-0.00029,-0.00036,-0.00047,-0.00075,-0.00066,-1.00E-04,-1.00E-04,4,1
18625,-9.00E-05,-6.00E-05,-6.00E-05,-0.00019,-4.00E-04,-0.00021,-0.00024,-2.00E-04,4,1
18626,-9.00E-05,-6.00E-05,-6.00E-05,-0.00019,-4.00E-04,-0.00021,-0.00024,-2.00E-04,4,1
18627,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18628,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18629,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18630,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18631,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18632,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18633,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18634,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18635,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18636,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18638,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18639,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18640,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18641,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18642,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18643,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18644,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18645,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18646,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18647,-5.00E-05,-5.00E-05,-4.00E-05,-8.00E-05,-2.00E-05,-0.00015,-0.00017,-0.00013,4,1
18648,-3.00E-05,-3.00E-05,-3.00E-05,-0.00016,-0.00017,2.00E-05,5.00E-05,0,4,1
18649,5.00E-05,-2.00E-05,-7.00E-05,-0.00046,-0.00012,0.00013,7.00E-05,0.00015,4,1
18650,5.00E-05,-2.00E-05,-7.00E-05,-0.00046,-0.00012,0.00013,7.00E-05,0.00015,4,1
18651,5.00E-05,-2.00E-05,-7.00E-05,-0.00046,-0.00012,0.00013,7.00E-05,0.00015,4,1
