time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
12967,-0.00012,-0.00014,8.00E-05,5.00E-05,0.00012,8.00E-05,6.00E-05,-7.00E-05,3,1
12968,-0.00012,-0.00014,8.00E-05,5.00E-05,0.00012,8.00E-05,6.00E-05,-7.00E-05,3,1
12970,-0.00012,-0.00014,8.00E-05,5.00E-05,0.00012,8.00E-05,6.00E-05,-7.00E-05,3,1
12971,-0.00012,-0.00014,8.00E-05,5.00E-05,0.00012,8.00E-05,6.00E-05,-7.00E-05,3,1
12972,-0.00012,-0.00014,8.00E-05,5.00E-05,0.00012,8.00E-05,6.00E-05,-7.00E-05,3,1
12973,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12974,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12975,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12976,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12977,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12978,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12979,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12980,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12981,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12982,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12983,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12984,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12985,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12986,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12989,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12990,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12991,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12992,0,-6.00E-05,-4.00E-05,-1.00E-05,-1.00E-04,-6.00E-05,-7.00E-05,-1.00E-05,3,1
12993,0.00015,-0.00022,-0.00011,-4.00E-05,-0.00013,4.00E-05,-3.00E-05,-2.00E-05,3,1
12994,0.00015,-0.00022,-0.00011,-4.00E-05,-0.00013,4.00E-05,-3.00E-05,-2.00E-05,3,1
12995,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
12996,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
12997,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
12998,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
12999,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13000,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13001,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13002,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13003,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13004,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13005,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13006,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13007,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13008,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13009,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13010,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13011,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13012,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13013,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13014,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13015,0.00033,0.00014,5.00E-05,2.00E-05,0.00011,0.00017,0.00013,0.00025,3,1
13016,1.00E-05,-0.00015,-9.00E-05,0,-2.00E-05,-3.00E-05,-0.00011,-6.00E-05,3,1
13017,7.00E-05,9.00E-05,0,1.00E-04,0.00025,1.00E-04,5.00E-05,0.00012,3,1
13019,7.00E-05,9.00E-05,0,1.00E-04,0.00025,1.00E-04,5.00E-05,0.00012,3,1
13020,7.00E-05,9.00E-05,0,1.00E-04,0.00025,1.00E-04,5.00E-05,0.00012,3,1
13021,7.00E-05,9.00E-05,0,1.00E-04,0.00025,1.00E-04,5.00E-05,0.00012,3,1
13022,7.00E-05,9.00E-05,0,1.00E-04,0.00025,1.00E-04,5.00E-05,0.00012,3,1
13023,7.00E-05,9.00E-05,0,1.00E-04,0.00025,1.00E-04,5.00E-05,0.00012,3,1
13024,7.00E-05,9.00E-05,0,1.00E-04,0.00025,1.00E-04,5.00E-05,0.00012,3,1
13025,7.00E-05,9.00E-05,0,1.00E-04,0.00025,1.00E-04,5.00E-05,0.00012,3,1
13026,7.00E-05,9.00E-05,0,1.00E-04,0.00025,1.00E-04,5.00E-05,0.00012,3,1
13027,7.00E-05,9.00E-05,0,1.00E-04,0.00025,1.00E-04,5.00E-05,0.00012,3,1
13028,7.00E-05,9.00E-05,0,1.00E-04,0.00025,1.00E-04,5.00E-05,0.00012,3,1
13029,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13030,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13031,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13032,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13033,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13034,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13035,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13036,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13038,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13039,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13040,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13041,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13042,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13043,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13044,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13045,1.00E-05,0.00015,2.00E-05,-2.00E-05,0,-1.00E-05,4.00E-05,-9.00E-05,3,1
13046,-4.00E-05,-0.00014,-3.00E-05,-4.00E-05,-0.00017,-0.00015,-6.00E-05,-0.00011,3,1
13047,-4.00E-05,-0.00014,-3.00E-05,-4.00E-05,-0.00017,-0.00015,-6.00E-05,-0.00011,3,1
13048,-4.00E-05,-0.00014,-3.00E-05,-4.00E-05,-0.00017,-0.00015,-6.00E-05,-0.00011,3,1
